1,grit,1876,2007-10-29 14:37:16,2016-09-08 05:16:47
26,merb-core,405,2008-01-12 05:50:53,2016-09-09 22:50:03
27,rubinius,2628,2008-01-12 16:46:52,2016-09-12 11:02:37
28,god,1983,2008-01-13 05:16:23,2016-09-12 15:14:33
35,exception_logger,237,2008-01-14 03:32:19,2016-09-11 23:56:13
36,ambition,151,2008-01-14 06:28:56,2016-09-07 08:37:48
42,restful-authentication,1632,2008-01-14 14:44:23,2016-09-11 23:33:45
43,attachment_fu,1036,2008-01-14 14:51:56,2016-09-08 09:01:42
65,merb-more,189,2008-01-18 07:05:20,2016-08-27 11:46:08
68,thin,1848,2008-01-19 05:39:04,2016-09-10 05:52:05
71,resource_controller,514,2008-01-19 22:55:05,2016-09-07 16:31:12
93,cache_fu,266,2008-01-23 00:28:10,2016-08-07 22:30:38
98,sinatra,964,2008-01-24 04:49:54,2016-08-30 06:20:50
130,ruby-git,1143,2008-01-27 17:23:23,2016-09-12 03:54:14
142,calais,137,2008-01-29 04:10:12,2016-07-31 21:55:44
144,chronic,2551,2008-01-29 06:48:49,2016-09-13 01:52:34
165,git-wiki,532,2008-01-29 20:39:42,2016-09-10 08:43:44
179,ruby-on-rails-tmbundle,924,2008-01-30 23:20:38,2016-09-09 14:11:38
185,low-pro-for-jquery,137,2008-01-31 14:11:27,2016-07-31 21:55:44
199,amazon-ec2,435,2008-02-01 04:27:00,2016-08-31 06:36:17
218,merb-plugins,213,2008-02-02 11:28:47,2016-08-27 11:46:07
249,braid,380,2008-02-03 21:14:46,2016-08-25 13:21:33
273,eycap,123,2008-02-04 11:37:14,2016-07-31 21:55:44
322,forgery,732,2008-02-06 22:33:31,2016-09-07 18:29:21
363,audited,1621,2008-02-09 16:14:05,2016-09-12 14:34:24
364,acts_as_geocodable,208,2008-02-09 16:20:11,2016-08-22 18:53:51
374,graticule,289,2008-02-09 17:23:49,2016-06-09 11:27:48
376,tinder,255,2008-02-09 18:18:23,2016-09-03 15:45:45
386,rush,480,2008-02-10 20:21:42,2016-08-24 14:25:59
425,facebox,1946,2008-02-11 22:49:27,2016-09-09 04:48:22
426,haml,3029,2008-02-11 22:55:26,2016-09-12 19:51:32
507,twitter,3659,2008-02-14 02:20:50,2016-09-13 02:09:46
520,rails-authorization-plugin,244,2008-02-14 04:39:46,2016-07-09 13:20:04
533,userstamp,180,2008-02-14 07:15:27,2016-08-24 05:15:52
662,barby,547,2008-02-17 13:40:24,2016-09-10 06:41:16
682,delayed_job,2082,2008-02-17 21:00:03,2016-09-13 02:00:27
732,rubyurl,207,2008-02-18 20:00:00,2016-07-25 06:03:57
751,eldorado,237,2008-02-19 03:24:35,2016-07-14 12:15:39
765,stringex,937,2008-02-19 15:31:07,2016-09-07 19:35:14
780,git-wiki,157,2008-01-29 20:39:42,2016-09-10 08:34:42
912,awesome_nested_set,1838,2008-02-21 16:03:25,2016-09-10 03:22:01
966,io,1597,2008-02-22 08:41:30,2016-09-11 20:44:51
1032,onebody,1304,2008-02-23 15:53:26,2016-09-11 13:15:51
1227,will_paginate,4834,2008-02-25 20:21:40,2016-09-12 15:00:05
1252,yard,1156,2008-02-26 00:01:52,2016-09-11 03:08:12
1259,ruby-tmbundle,167,2008-02-26 00:49:22,2016-06-14 22:51:48
1318,sprinkle,1180,2008-02-26 12:58:26,2016-09-09 18:17:04
1441,clickatell,150,2008-02-27 14:50:26,2016-06-15 14:59:31
1462,annotate_models,2273,2008-02-27 18:04:38,2016-09-13 04:53:28
1559,gazelle,156,2008-02-28 00:50:35,2016-08-28 01:48:34
1653,github-gem,1073,2008-02-28 09:35:34,2016-09-12 14:56:47
1721,gemedit,104,2008-02-28 18:56:55,2016-08-08 18:35:10
1734,aasm,2503,2008-02-28 20:40:04,2016-09-12 16:17:58
1767,vimfiles,639,2008-02-29 00:15:49,2016-09-09 02:36:57
1793,email-veracity,133,2008-02-29 04:37:30,2016-09-05 02:07:32
1874,treetop,915,2008-02-29 18:29:24,2016-09-09 20:40:57
1904,java-memcached-client,434,2008-02-29 21:22:38,2016-09-08 21:51:33
1932,rspec,1804,2008-02-29 23:32:44,2016-09-12 19:36:28
1945,functional-javascript,317,2008-03-01 00:29:28,2016-09-07 04:31:53
1954,mephisto,268,2008-03-01 01:48:20,2016-07-22 13:20:27
2019,warbler,747,2008-03-01 18:46:46,2016-09-10 06:23:45
2048,ci_reporter,325,2008-03-01 22:38:26,2016-09-05 01:57:17
2090,gitnub,1056,2008-03-02 06:22:30,2016-08-30 18:21:37
2150,webrat,1570,2008-03-02 20:09:28,2016-09-04 23:04:46
2184,rspec-on-rails-matchers,173,2008-03-03 00:34:31,2016-08-30 21:01:06
2296,git-tmbundle,293,2008-03-03 18:47:08,2016-08-30 18:21:37
2341,mephisto,212,2008-03-01 01:48:20,2016-08-02 18:13:27
2367,capistrano,110,2008-03-04 03:49:28,2016-08-04 12:36:49
2370,masochism,252,2008-03-04 04:28:16,2016-09-08 03:51:41
2376,acts_as_paranoid,760,2008-03-04 04:48:18,2016-09-12 15:27:28
2377,acts_as_versioned,411,2008-03-04 04:49:32,2016-08-30 15:28:04
2378,permalink_fu,278,2008-03-04 04:51:04,2016-05-11 21:30:50
2447,no-peeping-toms,137,2008-03-04 16:09:25,2016-09-06 17:55:04
2498,permanent_records,211,2008-03-04 19:30:54,2016-08-14 14:13:04
2547,newgem,126,2008-03-04 22:58:07,2016-05-11 21:30:51
2548,composite_primary_keys,550,2008-03-04 22:58:40,2016-09-12 01:36:25
2667,nu,1954,2008-03-05 18:55:38,2016-09-12 23:11:04
2720,asset_packager,536,2008-03-06 00:33:09,2016-08-02 01:52:13
2727,minimagick,1844,2008-03-06 01:35:38,2016-09-12 13:01:18
2747,maphilight,322,2008-03-06 04:10:02,2016-09-13 01:03:42
2782,polypage,212,2008-03-06 11:46:38,2016-09-09 21:40:01
2913,aintablog,131,2008-03-07 07:02:22,2016-08-02 18:13:00
2954,acts_as_taggable_on_steroids,160,2008-03-07 18:13:34,2016-05-11 21:30:52
3010,erlectricity,325,2008-03-08 01:32:13,2016-08-29 04:46:11
3014,query_trace,172,2008-03-08 02:19:06,2016-05-11 21:30:52
3022,rest-client,493,2008-03-08 03:27:39,2016-08-15 19:49:02
3045,perspective-el,259,2008-03-08 11:35:19,2016-09-01 18:04:08
3156,screw-unit,187,2008-03-09 04:18:52,2016-09-06 15:23:00
3160,arel,247,2008-03-09 05:37:48,2016-08-31 05:11:23
3206,gedit-themes,284,2008-03-09 20:24:10,2016-09-04 07:22:51
3222,media,277,2008-03-09 22:43:49,2016-09-10 23:57:49
3282,nerdtree,6859,2008-03-10 07:34:08,2016-09-13 03:59:02
3287,nerdcommenter,2051,2008-03-10 08:19:15,2016-09-13 03:25:57
3314,spree,7794,2008-03-10 14:45:35,2016-09-13 03:41:37
3403,rboard,307,2008-03-11 00:41:59,2016-08-02 18:11:58
3456,alonetone,175,2008-03-11 11:43:25,2016-08-19 06:45:58
3511,feather,136,2008-03-11 18:17:55,2016-05-11 21:30:54
3542,gruff,853,2008-03-11 22:06:00,2016-09-12 14:15:21
3544,sparklines,162,2008-03-11 22:34:07,2016-05-28 15:15:22
3591,cheat,234,2008-03-12 06:09:09,2016-08-19 03:28:38
3593,nginx_config_generator,125,2008-03-12 06:17:10,2016-09-04 10:48:08
3594,acts_as_textiled,118,2008-03-12 06:20:18,2016-08-05 17:46:28
3605,acts_as_commentable,791,2008-03-12 07:11:22,2016-09-09 04:15:20
3653,piston,120,2008-03-12 17:40:27,2016-07-03 21:01:39
3773,hobo,257,2008-03-13 17:17:53,2016-05-24 11:08:40
3864,sass-textmate-bundle,302,2008-03-14 10:51:27,2016-05-17 08:19:31
3935,anarki,808,2008-03-14 20:13:58,2016-09-11 20:08:16
4016,limechat,1129,2008-03-15 17:39:45,2016-09-12 20:48:38
4048,calendar_date_select,433,2008-03-15 21:57:10,2016-06-15 07:58:07
4060,restful_acl,124,2008-03-16 00:39:40,2016-05-11 21:30:57
4061,auto_migrations,144,2008-03-16 00:44:24,2016-06-27 16:39:56
4078,contacts,265,2008-03-16 03:52:46,2016-07-12 21:16:01
4456,ticgit,405,2008-03-18 23:02:07,2016-08-27 16:24:39
4549,couchrest,423,2008-03-19 15:55:53,2016-08-08 08:41:08
4656,lovd-by-less,557,2008-03-20 13:09:09,2016-08-11 15:12:57
4798,DotNetOpenAuth,1234,2008-03-21 16:25:42,2016-09-13 03:30:40
4826,reia,736,2008-03-21 18:48:17,2016-09-05 13:42:56
4828,acts-as-taggable-on,3792,2008-03-21 19:07:26,2016-09-13 00:42:16
4859,cloudkit,317,2008-03-21 21:36:32,2016-08-17 13:34:28
4887,contacts,611,2008-03-21 23:40:38,2016-08-30 21:01:09
4937,ruby-sass-tmbundle,109,2008-03-22 08:57:17,2016-05-21 15:18:21
4957,nginx-upstream-fair,294,2008-03-22 15:51:21,2016-09-04 16:56:55
4976,nbgit,190,2008-03-22 18:13:32,2016-08-02 16:51:50
5066,princely,215,2008-03-23 14:47:53,2016-08-08 16:23:27
5266,activerecord-jdbc-adapter,402,2008-03-25 15:46:40,2016-09-11 01:41:50
5289,communityengine,1147,2008-03-25 19:55:55,2016-09-12 13:58:56
5310,action_mailer_optional_tls,140,2008-03-25 21:27:14,2016-05-11 21:31:02
5494,prototype,3167,2008-03-27 02:15:03,2016-09-13 01:59:41
5497,sprockets,2734,2008-03-27 02:37:32,2016-08-30 12:43:31
5625,passenger,3559,2008-03-27 23:40:48,2016-09-13 01:08:29
5644,git-emacs,172,2008-03-28 02:37:45,2016-09-08 20:27:11
5657,comatose,202,2008-03-28 04:16:58,2016-08-29 23:26:54
5723,rubyamp,123,2008-03-28 18:37:03,2016-05-11 21:31:03
5847,johnson,476,2008-03-30 02:28:16,2016-09-08 05:16:53
5910,sms-fu,319,2008-03-30 20:03:02,2016-07-28 21:27:25
5933,fleximage,244,2008-03-31 01:29:47,2016-09-05 01:57:14
5940,screw-unit,270,2008-03-09 04:18:52,2016-05-25 03:39:53
5954,sequel,2799,2008-03-31 05:41:15,2016-09-12 03:18:00
5964,nanite,765,2008-03-31 08:32:08,2016-09-05 02:03:46
6007,james,132,2008-03-31 17:15:20,2016-08-30 18:21:37
6020,masquerade,230,2008-03-31 18:37:51,2016-09-05 01:57:12
6040,beanstalkd,3417,2008-03-31 20:20:41,2016-09-12 14:59:11
6094,rufus-scheduler,1498,2008-04-01 04:21:05,2016-09-12 08:16:52
6133,seed-fu,893,2008-04-01 13:36:22,2016-09-13 01:06:33
6137,scriptaculous,2367,2008-04-01 15:18:45,2016-09-11 00:55:12
6159,wow-ui-source,232,2008-04-01 18:58:52,2016-09-09 22:05:24
6275,dynomite,357,2008-04-02 15:58:47,2016-08-22 06:44:20
6313,insoshi,1588,2008-04-02 19:19:05,2016-09-04 04:02:15
6378,configgy,164,2008-04-02 23:21:25,2016-07-26 20:20:36
6388,attribute_fu,102,2008-04-03 00:14:53,2016-08-30 15:28:04
6485,rqrcode,653,2008-04-03 09:31:15,2016-09-13 02:07:00
6665,rspec-tmbundle,207,2008-04-03 22:12:59,2016-08-02 18:08:50
6668,rspec-rails,776,2008-04-03 22:13:52,2016-08-02 18:08:12
6700,clojure-mode,192,2008-04-04 00:06:36,2016-06-21 10:41:57
6701,swank-clojure,161,2008-04-04 00:09:28,2016-05-11 21:31:06
6868,log_buddy,148,2008-04-04 13:26:39,2016-07-28 10:01:05
6883,cap_gun,125,2008-04-04 14:18:02,2016-05-11 21:31:07
7050,prawn,3187,2008-04-04 22:37:39,2016-09-13 03:34:15
7205,acts_as_snook,108,2008-04-05 19:38:46,2016-05-11 21:31:08
7368,chyrp,230,2008-04-06 20:10:32,2016-09-12 09:34:24
7480,rad,403,2008-04-07 10:18:30,2016-07-29 04:33:36
7485,google_analytics,134,2008-04-07 10:32:55,2016-05-24 18:13:54
7497,formtastic,4909,2008-04-07 11:18:11,2016-09-12 19:36:28
7514,jquery_example,113,2008-04-07 12:39:36,2016-09-13 01:33:14
7698,pdoc,106,2008-04-08 00:29:47,2016-06-13 10:09:18
7776,eidogo,132,2008-04-08 08:09:52,2016-08-26 17:13:52
7820,protolicious,139,2008-04-08 14:35:53,2016-07-27 14:06:36
7870,basket,107,2008-04-08 18:44:01,2016-08-26 19:51:27
7927,frankie,142,2008-04-08 23:07:49,2016-05-11 21:31:11
8136,acts_as_state_machine,113,2008-04-09 18:57:51,2016-05-11 21:31:11
8229,ruote,513,2008-04-10 02:07:50,2016-09-02 11:48:18
8268,daemon_generator,102,2008-04-10 10:26:19,2016-05-23 02:26:09
8338,py-github,140,2008-04-10 18:11:11,2016-08-18 15:08:34
8393,paperclip,8088,2008-04-10 19:58:20,2016-09-13 02:00:24
8427,DatabaseKit,388,2008-04-10 21:14:21,2016-08-22 10:47:25
8514,rails,32739,2008-04-11 02:19:47,2016-09-13 02:45:06
8565,etc,147,2008-04-11 04:36:51,2016-07-24 13:58:29
8754,lipsiadmin,111,2008-04-11 14:50:52,2016-05-11 21:31:13
8957,squirrel,184,2008-04-11 22:50:23,2016-08-02 01:52:14
8970,recaptcha,1131,2008-04-11 23:01:45,2016-09-12 03:33:03
8986,enki,836,2008-04-11 23:54:11,2016-08-23 13:52:39
9100,django-mobileadmin,120,2008-04-12 11:05:01,2016-07-26 21:45:00
9129,background-fu,102,2008-04-12 14:05:45,2016-05-11 21:31:15
9225,rails-settings,222,2008-04-12 20:57:04,2016-08-10 15:25:08
9302,spawnling,358,2008-04-13 04:21:58,2016-09-09 14:59:55
9370,ruby-processing,1213,2008-04-13 14:39:59,2016-09-11 19:09:50
9380,navigation_helper,109,2008-04-13 15:44:22,2016-05-11 21:31:15
9525,thinking-sphinx,1496,2008-04-14 01:28:12,2016-09-09 17:01:00
9535,jazz_model,175,2008-04-14 02:28:45,2016-08-23 09:09:35
9664,shoulda,1929,2008-04-14 13:27:26,2016-09-08 10:21:57
9678,jester,149,2008-04-14 14:09:22,2016-05-11 21:31:17
9851,riddle,136,2008-04-15 00:46:41,2016-08-21 19:32:14
9880,object_daddy,111,2008-04-15 02:56:52,2016-06-15 07:57:54
10272,copy-as-rtf-tmbundle,207,2008-04-16 11:55:55,2016-07-18 14:54:24
10344,data_fabric,215,2008-04-16 17:14:47,2016-07-05 18:52:00
10396,rails-iui,146,2008-04-16 19:36:10,2016-05-11 21:31:20
10516,javascript-tools.tmbundle,630,2008-04-17 04:43:04,2016-09-03 19:36:20
10664,cucumber-ruby,4974,2008-04-17 18:19:13,2016-09-12 19:36:28
10731,typus,1108,2008-04-17 22:59:41,2016-09-08 11:06:07
10865,friendly_id,4205,2008-04-18 13:16:06,2016-09-13 02:39:39
10866,git-blog,106,2008-04-18 13:19:53,2016-05-25 11:00:51
10910,mechanize,3145,2008-04-18 16:55:10,2016-09-13 02:21:27
10923,deep-test,124,2008-04-18 17:44:51,2016-08-16 19:10:14
10985,engines,178,2008-04-18 20:56:06,2016-05-11 21:31:22
11018,grit,155,2008-04-18 23:14:24,2016-08-20 09:43:45
11104,uni-form,478,2008-04-19 08:57:38,2016-09-12 23:12:20
11115,gchartrb,108,2008-04-19 12:03:38,2016-07-15 19:56:06
11137,ruby-plsql,116,2008-04-19 14:49:12,2016-09-07 01:42:46
11428,brazilian-rails,326,2008-04-20 23:20:20,2016-09-02 01:39:56
11432,rakismet,328,2008-04-21 00:09:57,2016-09-01 03:17:34
11466,timeframe,294,2008-04-21 02:58:58,2016-08-24 06:16:14
11493,kestrel,2780,2008-04-21 07:19:21,2016-09-11 09:35:12
11510,oauth-proxy,123,2008-04-21 09:35:01,2016-07-29 12:35:45
11573,mootools-core,2365,2008-04-21 16:58:56,2016-09-13 05:17:03
11598,active_shipping,672,2008-04-21 18:13:39,2016-09-09 22:06:48
11635,redcloth,428,2008-04-21 20:50:37,2016-09-05 02:09:06
11671,dm-paperclip,104,2008-04-22 00:47:07,2016-06-22 12:43:57
11784,h2o-php,285,2008-04-22 15:08:19,2016-09-12 13:14:48
12478,shell-fm,220,2008-04-25 13:10:55,2016-08-24 20:52:10
12494,rspec-mode,183,2008-04-25 15:06:43,2016-09-10 11:55:40
12527,choice,168,2008-04-25 18:30:30,2016-08-08 08:43:25
12605,github-badges,108,2008-04-26 04:22:38,2016-08-10 10:36:59
12666,cap-recipes,377,2008-04-26 13:01:03,2016-09-11 20:52:20
12773,googlecharts,710,2008-04-27 03:36:44,2016-08-16 23:57:02
12802,git-vim,591,2008-04-27 07:23:09,2016-08-10 16:08:18
12943,memcached,123,2008-04-27 23:39:11,2016-08-18 11:40:46
12955,version_fu,114,2008-04-28 02:12:51,2016-07-13 19:04:54
12962,unit-record,110,2008-04-28 02:48:04,2016-08-02 18:03:39
13128,webby,278,2008-04-28 20:19:44,2016-08-30 18:21:37
13133,nested_has_many_through,142,2008-04-28 21:17:24,2016-08-08 07:01:54
13163,github-services,421,2008-04-28 23:41:21,2016-07-25 21:44:05
13193,actsaswizard,124,2008-04-29 02:28:18,2016-05-11 21:31:31
13458,lighthouse-api,106,2008-04-30 05:05:04,2016-05-11 21:31:32
13484,scripty2,520,2008-04-30 09:37:37,2016-08-24 10:16:56
13596,validation_reflection,311,2008-04-30 17:27:09,2016-06-27 08:57:04
13677,compojure,3008,2008-05-01 00:31:39,2016-09-12 17:48:53
13705,bones,116,2008-05-01 04:17:31,2016-06-24 17:47:20
13899,adbcj,110,2008-05-02 00:04:03,2016-08-19 14:11:42
13960,hanna,235,2008-05-02 05:46:56,2016-08-13 21:14:20
13966,dbf,178,2008-05-02 06:44:06,2016-09-12 14:19:07
14154,rchardet,126,2008-05-03 00:21:52,2016-08-11 07:24:39
14156,peg-markdown,504,2008-05-03 00:26:12,2016-09-09 17:27:43
14187,fuzed,276,2008-05-03 04:49:37,2016-08-13 01:18:58
14203,bloog,272,2008-05-03 07:02:28,2016-09-09 02:12:13
14335,acts_as_solr,105,2008-05-03 22:33:43,2016-09-02 09:47:26
14406,autopagerize,113,2008-05-04 09:49:11,2016-09-13 04:59:39
14507,oracle-enhanced,435,2008-05-04 22:02:14,2016-08-22 13:01:05
14633,activecouch,109,2008-05-05 11:22:49,2016-09-09 06:01:53
14645,tvdb_api,263,2008-05-05 13:01:53,2016-08-23 22:52:55
14702,classifier,592,2008-05-05 17:24:11,2016-09-12 03:14:13
14753,spatial_adapter,210,2008-05-05 20:00:24,2016-06-21 17:27:38
14861,textmate,161,2008-05-06 04:59:30,2016-05-19 04:23:15
14925,celerity,220,2008-05-06 11:53:49,2016-09-05 02:06:28
14990,nifty-generators,2053,2008-05-06 18:19:19,2016-09-09 04:15:20
15231,curl,335,2008-05-07 18:05:24,2016-09-04 10:00:51
15257,thor,3375,2008-05-07 20:07:31,2016-09-11 11:21:29
15293,bcrypt-ruby,1012,2008-05-07 23:29:27,2016-09-12 14:00:20
15402,passengerpane,621,2008-05-08 12:05:38,2016-09-07 08:37:36
15422,python-audio-tools,129,2008-05-08 14:30:07,2016-09-09 14:36:36
15435,liquid,4841,2008-05-08 15:27:26,2016-09-13 05:24:58
15448,freemium,157,2008-05-08 17:13:41,2016-09-12 14:54:38
15536,ramaze,222,2008-05-09 00:34:26,2016-08-24 18:48:52
15570,railscasts,763,2008-05-09 04:39:42,2016-09-06 06:14:45
15620,ruby-oembed,236,2008-05-09 13:50:39,2016-08-21 07:50:25
15677,tarantula,442,2008-05-09 18:34:56,2016-08-30 15:32:35
15784,potionstore,341,2008-05-10 05:24:59,2016-05-14 13:51:41
15912,strip_attributes,197,2008-05-11 00:46:26,2016-09-12 19:01:11
15929,albino,231,2008-05-11 04:45:03,2016-09-11 18:58:14
15932,jquery-relatize_date,112,2008-05-11 04:45:52,2016-08-20 07:51:23
15958,autotest-notification,192,2008-05-11 05:19:16,2016-08-19 11:18:53
16001,dotfiles,607,2008-05-11 11:45:41,2016-09-12 05:00:17
16044,dotfiles,278,2008-05-11 18:07:17,2016-09-11 21:50:41
16117,dotfiles,136,2008-05-12 03:06:41,2016-09-09 03:40:10
16267,iverilog,374,2008-05-12 16:57:52,2016-09-09 04:15:20
16287,processing-js,1773,2008-05-12 18:19:10,2016-09-12 04:32:09
16307,git-issues,246,2008-05-12 19:37:25,2016-08-19 00:16:42
16309,ledger,1801,2008-05-12 19:39:49,2016-09-13 05:20:47
16461,acts_as_xapian,131,2008-05-13 09:53:49,2016-05-11 21:31:48
16508,active_fulfillment,106,2008-05-13 15:04:36,2016-08-21 02:01:53
16598,as3httpclient,243,2008-05-13 20:37:54,2016-08-12 04:05:11
16663,gravtastic,578,2008-05-14 02:31:11,2016-09-09 20:40:26
16667,jruby-rack,395,2008-05-14 02:57:24,2016-09-07 16:42:01
16694,railscasts-episodes,832,2008-05-14 06:51:08,2016-09-10 16:13:36
16898,ack-tmbundle,298,2008-05-14 23:30:50,2016-09-07 04:52:31
16966,workflow,224,2008-05-15 05:21:24,2016-09-12 09:17:20
16979,rr,535,2008-05-15 06:08:56,2016-09-05 02:15:23
16992,gitmagic,1001,2008-05-15 07:08:50,2016-09-10 03:25:29
17127,xpwn,280,2008-05-15 18:51:07,2016-09-08 17:44:29
17372,erlang-oauth,278,2008-05-16 15:17:32,2016-07-12 19:48:53
17407,rails_sql_views,143,2008-05-16 17:59:02,2016-08-08 22:14:15
17409,activewarehouse,196,2008-05-16 18:10:50,2016-09-08 02:45:55
17504,erector,217,2008-05-17 00:20:47,2016-09-11 00:50:39
17513,javascript-tools-tmbundle,118,2008-05-17 01:14:43,2016-09-07 08:37:55
17534,desert,189,2008-05-17 03:54:47,2016-08-08 06:59:07
17645,simple-private-messages,209,2008-05-17 20:15:41,2016-09-05 08:20:58
17876,ruleby,274,2008-05-18 21:43:54,2016-08-10 09:09:18
17965,yeti,157,2008-05-19 07:53:44,2016-09-01 13:04:13
18027,ggplot2-book,289,2008-05-19 13:38:18,2016-09-13 02:24:17
18070,app_config,108,2008-05-19 17:20:47,2016-08-02 18:01:21
18257,railscollab,264,2008-05-20 10:07:19,2016-06-14 19:34:54
18272,diakonos,112,2008-05-20 11:59:37,2016-08-31 20:21:47
18294,active_merchant,3418,2008-05-20 13:53:26,2016-09-12 08:45:13
18367,tracks-old,404,2008-05-20 18:28:29,2016-08-28 03:12:58
18452,rmmseg-cpp,148,2008-05-21 00:09:44,2016-08-31 06:36:17
18556,backgroundrb,218,2008-05-21 11:25:56,2016-09-05 02:05:23
18639,active_scaffold,908,2008-05-21 17:47:42,2016-09-05 01:57:07
18944,sproutcore,476,2008-05-22 17:41:45,2016-08-09 06:32:03
18966,sproutcore-samples,233,2008-05-22 19:14:10,2016-05-11 21:32:00
19069,acts_as_network,108,2008-05-23 04:27:32,2016-05-11 21:32:00
19309,iphonelinux,357,2008-05-24 05:14:00,2016-08-09 05:57:54
19391,project-sprouts,212,2008-05-24 19:06:31,2016-09-12 19:36:28
19438,ggplot2,2000,2008-05-25 01:21:32,2016-09-13 02:23:24
19624,github-tmbundle,235,2008-05-26 04:36:40,2016-07-17 17:54:44
19816,hibernate-memcached,115,2008-05-27 02:39:55,2016-08-19 00:56:27
20088,bostonrb,210,2008-05-28 00:00:20,2016-08-30 18:21:37
20299,github_editor_theme,113,2008-05-28 20:18:13,2016-05-13 05:34:21
20425,api_cache,327,2008-05-29 10:39:48,2016-09-02 17:50:08
20547,acts_as_list,395,2008-05-29 20:21:01,2016-06-03 07:22:08
20550,acts_as_tree,279,2008-05-29 20:25:07,2016-07-15 18:52:04
20553,auto_complete,215,2008-05-29 20:27:54,2016-05-09 17:08:45
20556,exception_notification,892,2008-05-29 20:32:17,2016-07-24 13:25:13
20559,in_place_editing,230,2008-05-29 20:34:50,2016-05-09 17:08:45
20563,open_id_authentication,293,2008-05-29 20:38:42,2016-06-14 19:34:54
20571,ssl_requirement,324,2008-05-29 20:57:36,2016-05-13 10:20:53
20620,routing-filter,384,2008-05-29 23:08:07,2016-08-15 15:51:59
20669,logging,399,2008-05-30 04:03:30,2016-08-30 21:01:13
20693,epiphany,681,2008-05-30 06:22:51,2016-09-09 09:20:31
20724,neo4j,1070,2008-05-30 10:44:36,2016-09-12 16:46:08
20759,paperclipped,131,2008-05-30 14:21:25,2016-05-09 17:08:47
20768,geohash-js,328,2008-05-30 14:45:19,2016-09-06 14:53:45
20797,rdiscount,766,2008-05-30 16:54:07,2016-09-05 02:08:46
20912,fofou,197,2008-05-31 03:01:58,2016-08-29 03:41:28
20990,rack,466,2008-05-31 12:06:38,2016-07-01 06:50:18
21007,serve,856,2008-05-31 14:40:53,2016-08-18 15:54:06
21012,gitjour,275,2008-05-31 16:20:19,2016-09-05 09:30:37
